Date,Electricity (kWh),Gas (m3)
2022-03-31,9692,3195.0
2022-04-07,9764,3207.0
2022-04-14,9836,3215.439
2022-04-21,9889,3220.408
2022-04-28,9950,3226.03
2022-05-05,10002,3231.651
2022-05-12,10061,3236.754
2022-05-19,10118,3241.926
2022-05-26,10174,3246.916
2022-06-02,10208,3249.781
2022-06-09,10271,3254.645
2022-06-16,10297,3255.0
2022-06-23,10345,3259.509
2022-06-30,10385,3262.765
2022-07-07,10433,3267.424
2022-07-14,10484,3271.401
2022-07-21,10541,3275.203
2022-07-28,10590,3279.157
2022-08-04,10627,3281.816
2022-08-11,10677,3285.234
2022-08-18,10745,3288.821
2022-08-25,10781,3290.686
2022-09-01,10813,3293.121
2022-09-08,10861,3297.455
2022-09-11,10881,3298.629
2022-09-18,10897,3298.629
2022-09-22,10923,3302.0
2022-09-29,10978,3306.943
2022-10-01,10990,3307.803
2022-10-06,11035,3311.816
2022-10-13,11078,3316.0
2022-10-20,11124,3322.588
2022-10-27,11167,3327.391
2022-11-03,11214,3332.36
2022-11-10,11270,3337.442
2022-11-17,11330,3342.753
2022-11-24,11410,3353.72
2022-12-01,11487,3364.229
2022-12-08,11565,3380.0
2022-12-15,11679,3411.821
2022-12-22,11752,3444.857
2022-12-29,11800,3465.114
2023-01-05,11869,3481.188
2023-01-12,11913,3502.578
2023-01-19,11956,3529.322
2023-02-02,11995,3593.328
2023-02-09,12065,3623.906
2023-02-16,12127,3643.643
2023-02-23,12182,3655.952
2023-03-02,12256,3685.659
2023-03-09,12324,3709.15
2023-03-16,12388,3731.159
2023-03-23,12453,3743.26
2023-03-30,12504,3758.137
2023-04-06,12565,3769.08
2023-04-13,12622,3778.09
2023-04-20,12680,3787.395
2023-04-27,12742,3799.406
2023-05-04,12794,3805.912
2023-05-11,12845,3811.007
2023-05-18,12892,3816.056
2023-05-25,12942,3821.12
2023-06-01,12986,3825.92
2023-06-08,13029,3830.574
2023-06-11,13049,3831.999
2023-06-18,13067,3831.999
2023-06-22,13098,3834.615
2023-07-02,13128,3837.525
2023-07-06,13158,3840.285
2023-07-13,13207,3844.277
2023-07-20,13263,3848.186
2023-07-27,13312,3852.607
2023-08-03,13355,3856.153
2023-08-10,13404,3860.307
2023-08-17,13447,3864.297
2023-08-24,13477,3864.853
2023-08-31,13528,3869.849
2023-09-07,13568,3873.627
2023-09-14,13614,3876.999
2023-09-21,13664,3880.959
2023-09-28,13705,3884.787
2023-10-08,13782,3890.0
2023-10-12,13815,3892.425
2023-10-26,13878,3900.0
2023-11-02,13946,3908.449
2023-11-09,14016,3917.132
2023-11-16,14089,3938.313
